mu,sigma,empError,accuracy
0.001000,0.001000,0.219655,0.720000
0.001000,0.100000,0.218966,0.720000
0.001000,10.000000,0.144138,0.730000
0.001000,1000.000000,0.219655,0.720000
0.100000,0.001000,0.219655,0.720000
0.100000,0.100000,0.219655,0.720000
0.100000,10.000000,0.145172,0.720000
0.100000,1000.000000,0.219655,0.720000
10.000000,0.001000,0.219655,0.720000
10.000000,0.100000,0.219655,0.720000
10.000000,10.000000,0.219655,0.720000
10.000000,1000.000000,0.219655,0.720000
1000.000000,0.001000,0.219655,0.720000
1000.000000,0.100000,0.219655,0.720000
1000.000000,10.000000,0.219655,0.720000
1000.000000,1000.000000,0.219655,0.720000
0.001000,10.000000,0.270222,0.688000
