mu,sigma,accuracy,empError
10.000000,10.000000,0.544000,0.466000
10.000000,100.000000,0.780000,0.240889
10.000000,1000.000000,0.780000,0.253778
10.000000,10000.000000,0.684000,0.320222
100.000000,10.000000,0.544000,0.466000
100.000000,100.000000,0.698000,0.316889
100.000000,1000.000000,0.686000,0.313556
100.000000,10000.000000,0.674000,0.326667
1000.000000,10.000000,0.544000,0.466000
1000.000000,100.000000,0.672000,0.339556
1000.000000,1000.000000,0.684000,0.318000
1000.000000,10000.000000,0.634000,0.371778
10000.000000,10.000000,0.544000,0.466000
10000.000000,100.000000,0.660000,0.318889
10000.000000,1000.000000,0.662000,0.355778
10000.000000,10000.000000,0.544000,0.466000
